sep=;
# Parametros: {"detection_method": "atr_dynamic", "consol_min_bars": 8, "consol_max_bars": 50, "consol_max_range_pct": 2, "consol_atr_ratio": 0.6, "consol_body_ratio": 0.5, "consol_max_outside_bars": 3, "lookforward_bars": 100, "max_price_range_pct": 6, "entry_mode": "breakout_close", "position_mode": "concurrent", "swing_bars": 3, "sl_mode": "swing_previous", "atr_dyn_period": 200, "atr_dyn_ma_period": 20, "atr_dyn_multiplier": 1.3, "atr_dyn_max_breakout": 5, "atr_dyn_merge_overlap": true, "use_atr_band": false, "atr_band_period": 200, "atr_band_multiplier": 1, "atr_band_ma_period": 20, "use_reentry": true, "max_reentry_bars": 3, "use_ttm_prefilter": true, "ttm_atr_length": 25, "ttm_kc_multiplier": 1.8, "ttm_min_squeeze_bars": 5, "use_bbwp_scoring": true, "bbwp_lookback": 252, "bbwp_squeeze_threshold": 20, "use_inside_pct_filter": false, "min_inside_pct": 70, "min_score_filter": 50, "use_continuation_score": true}
# Fecha: 2026-02-06T12:37:54.914445
zona_num;fecha_entrada;fecha_cierre;precio_min;precio_max;rango_pct;direccion;precio_breakout;modo_entrada;precio_entrada;offset_barras;resultado;pnl_r;equity_r;r_multiple;alcanzo_2r;alcanzo_3r;barras_cierre;velas_en_zona;duracion_horas;score
91;2026-01-08 10:05;2026-01-11 21:50;89262;90143,4;0,98;UP;90282;Close Breakout;90282;0;WIN;2;80,0;7,53;Si;Si;1006;37;3;56.0
92;2026-01-09 03:30;2026-01-09 10:25;90647,7;91356,963;0,78;DOWN;90541,3;Close Breakout;90541,3;0;LOSS;-1;79,0;53,06;Si;Si;84;174;14,4;56.0
93;2026-01-11 07:15;2026-01-11 09:50;90100;90786,8483;0,76;UP;90794,5;Close Breakout;90794,5;0;WIN;2;81,0;50,13;Si;Si;32;596;49,6;56.0
94;2026-01-12 01:25;2026-01-12 02:45;91951,6678;92273,02795000002;0,35;DOWN;91908,3;Close Breakout;91908,3;0;WIN;2;83,0;122,26;Si;Si;17;27;2,2;57.0
95;2026-01-12 10:15;2026-01-13 10:55;90153,9;91085;1,03;UP;91180;Close Breakout;91180;0;WIN;2;85,0;6,1;Si;Si;297;48;3,9;54.0
96;2026-01-13 00:10;2026-01-13 04:20;91153,91345;91569,94684999998;0,46;UP;91703,5;Close Breakout;91703,5;0;WIN;2;87,0;15,51;Si;Si;51;24;1,9;60.0
97;2026-01-13 09:35;2026-01-13 17:05;91804,528;92431,7;0,68;UP;92693,9;Close Breakout;92693,9;0;WIN;2;89,0;5,4;Si;Si;91;90;7,4;58.0
98;2026-01-13 17:05;2026-01-13 17:05;94033,53855;94517,6093;0,51;UP;94695,9;Close Breakout;94695,9;0;LOSS;-1;88,0;5,18;Si;Si;1;27;2,2;62.0
99;2026-01-15 09:40;2026-01-18 19:00;96062,1454;97113,1;1,09;DOWN;95769,4;Close Breakout;95769,4;0;WIN;2;90,0;26,7;Si;Si;977;158;13,1;52.0
100;2026-01-16 05:15;2026-01-16 09:30;95470,75715;95821,08445;0,37;DOWN;95414,2;Close Breakout;95414,2;0;LOSS;-1;89,0;126,07;Si;Si;52;30;2,4;67.0
101;2026-01-16 10:15;2026-01-18 19:00;95133,8;95554,36875;0,44;DOWN;94838,2;Close Breakout;94838,2;0;WIN;2;91,0;37,61;Si;Si;682;38;3,1;63.0
102;2026-01-16 12:55;2026-01-18 18:25;94650,69725;94960,6712;0,33;UP;95056,8;Close Breakout;95056,8;0;LOSS;-1;90,0;1,12;No;No;643;22;1,8;63.0
103;2026-01-18 08:15;2026-01-18 08:40;94964;95355,53555000002;0,41;DOWN;94957,5;Close Breakout;94957,5;0;LOSS;-1;89,0;191,32;Si;Si;6;349;29;59.0
104;2026-01-19 03:15;2026-01-19 17:55;92351,70795;92784,9;0,47;UP;92868;Close Breakout;92868;0;LOSS;-1;88,0;1,51;No;No;177;70;5,8;59.0
105;2026-01-19 17:30;2026-01-20 00:00;92804,5;93238,28589999999;0,47;DOWN;92800,7;Close Breakout;92800,7;0;WIN;2;90,0;65,93;Si;Si;79;54;4,4;59.0
106;2026-01-19 23:50;2026-01-20 00:10;92165,7;92597,55490000002;0,47;DOWN;92068,6;Close Breakout;92068,6;0;WIN;2;92,0;107,16;Si;Si;5;34;2,8;60.0
107;2026-01-20 09:45;2026-01-20 17:30;90621;91419,96585000001;0,88;DOWN;90403,2;Close Breakout;90403,2;0;WIN;2;94,0;43,92;Si;Si;94;55;4,5;56.0
108;2026-01-25 19:05;2026-01-26 09:40;86219,1284;86757;0,62;UP;86974,7;Close Breakout;86974,7;0;WIN;2;96,0;4,77;Si;Si;176;30;2,4;60.0
109;2026-01-28 21:30;2026-01-29 09:55;88520,8;89568,77374999998;1,18;DOWN;88251,5;Close Breakout;88251,5;0;WIN;2;98,0;60,74;Si;Si;150;247;20,5;53.0
110;2026-01-29 09:25;2026-01-29 09:55;87870,70065;88162,28934999999;0,33;DOWN;87780;Close Breakout;87780;0;WIN;2;100,0;76,9;Si;Si;7;21;1,7;61.0
111;2026-02-04 08:30;2026-02-04 09:00;75776,9;76338,9266;0,74;DOWN;75722,2;Close Breakout;75722,2;0;WIN;2;102,0;34,56;Si;Si;7;24;1,9;56.0
112;2026-02-05 10:00;2026-02-05 15:05;69039,3041;70372,4;1,91;DOWN;68943,8;Close Breakout;68943,8;0;WIN;2;104,0;4,71;Si;Si;62;32;2,6;51.0
113;2026-02-06 09:30;2026-02-06 12:30;63810,47595000001;67509,6;5,63;UP;67793,1;Close Breakout;67793,1;0;WIN;2;106,0;2,15;Si;No;37;247;20,5;52.0
